character
一
乙
二
十
丁
厂
七
卜
人
入
八
九
几
幾
儿
兒
了
力
乃
刀
又
三
于
於
干
幹
亏
士
工
土
才
寸
下
大
丈
与
與
万
萬
上
小
口
巾
山
千
乞
川
个
個
勺
久
凡
及
夕
么
麼
广
亡
门
門
义
義
之
尸
弓
己
子
卫
也
女
飞
飛
刃
习
習
马
馬
乡
鄉
丰
豐
王
开
開
夫
天
无
無
元
专
專
云
雲
扎
艺
木
五
支
厅
不
太
区
區
历
歷
尤
友
匹
车
車
巨
牙
屯
比
互
切
瓦
止
少
日
中
冈
岡
贝
貝
内
內
水
见
見
牛
手
毛
气
氣
升
长
長
仁
什
片
化
币
仅
僅
斤
爪
反
介
父
从
從
今
凶
分
乏
公
仓
倉
月
氏
勿
欠
风
風
丹
匀
勾
文
六
方
火
为
為
斗
鬥
计
計
认
認
心
尺
引
丐
丑
队
隊
办
辦
以
允
予
双
雙
书
書
出
可
对
對
生
发
發
用
去
本
只
它
民
正
业
外
由
头
加
代
世
东
東
立
处
處
平
打
四
电
务
必
市
司
白
且
北
边
邊
术
術
让
讓
失
布
未
叫
田
台
臺
击
石
示
写
寫
功
包
丘
史
乎
号
另
在
有
地
会
會
而
那
自
年
过
過
后
後
行
成
多
如
同
当
當
动
好
她
因
此
全
并
向
产
西
合
回
老
次
任
先
名
各
安
再
场
場
至
决
则
达
光
式
齐
齊
色
死
交
共
师
師
观
觀
争
爭
收
存
字
百
华
華
亚
亞
约
企
早
兆
农
農
吃
尽
盡
考
我
这
這
来
來
时
時
你
作
里
裏
没
沒
还
還
但
两
兩
间
应
應
体
體
身
位
声
员
走
条
系
更
别
报
報
克
形
聽
却
即
住
告
求
步
改
言
每
极
極
快
远
遠
花
技
际
究
阿
李
医
局
的
和
到
所
事
经
經
学
學
定
其
些
實
者
使
明
知
物
或
制
果
表
变
變
受
建
直
命
金
空
非
放
该
规
林
英
单
罗
质
官
委
图
念
周
青
是
说
說
要
种
面
麵
看
前
点
将
很
重
战
政
美
给
度
活
神
总
指
统
保
界
南
品
类
觉
院
带
持
亲
怎
复
须
查
轻
除
显
首
费
语
选
能
家
都
起
部
高
被
通
原
真
展
难
候
笑
根
造
爱
愛
流
离
病
消
容
谈
得
着
第
情
常
做
接
基
象
望
深
商
断
随
就
道
然
最
斯
量
期
强
确
集
越
装
落
想
意
新
数
感
路
照
算
题
影
整
器
